CODMUNRES,municipio,uf,REG,deaths_total,live_births,nmr,idhm,expA,SMR_A,SMR_A_lo,SMR_A_hi,SMR_A_eb,expB,SMR_B,sig_excess,sig_deficit,excess_deaths,illdef_share,exp_prenatal,exp_delivery,exp_newborn,exp_malformation
110011,Jaru,RO,North,66,9450,6.984126984126984,0.689,81.28597921435087,0.8119481445374264,0.6279308944513171,1.0330130803838347,0.9080156943026746,80.28137250806961,0.8221085158125057,False,False,0.0,0.08333333333333333,20.693912521895644,5.952705670894443,32.10444742925221,17.175434100918324
110012,Ji-Paraná,RO,North,174,22397,7.768897620216993,0.714,185.4210150547525,0.938404958837163,0.8041414054879326,1.0886716567345627,0.9577492887784793,181.74348161377426,0.9573933461326,False,False,0.0,0.04395604395604396,50.251644453609984,12.841557004793467,70.95371648243422,40.38462049329452
110013,Machadinho D'Oeste,RO,North,54,5321,10.148468333020109,0.596,50.99682384610247,1.0588894744300248,0.7954168024756577,1.3816478509042105,1.022099867026116,51.48577355841385,1.0488334207260885,False,False,3.0031761538975275,0.03571428571428571,11.777538425841001,3.9335768451498447,21.24820409097099,9.834650939186313
110014,Nova Brasilândia D'Oeste,RO,North,19,2716,6.995581737849779,0.643,23.936731061105633,0.7937591792085913,0.47767510632814314,1.2396156430987306,0.9546385785478824,24.027427212435907,0.7907629823207266,False,False,0.0,0.09523809523809523,5.678595656338131,1.7452555930731841,9.765026100651006,5.013061784933638
110015,Ouro Preto do Oeste,RO,North,33,6588,5.009107468123862,0.682,56.429005520565,0.5848056278073778,0.4024876091051934,0.8213109817726659,0.834216992504174,55.839417195714965,0.5909803801199481,False,True,0.0,0.05714285714285714,14.117210528561179,4.068197867968677,22.436020487976357,12.03495237358388
110018,Pimenta Bueno,RO,North,73,6472,11.279357231149566,0.71,52.29641267677238,1.3958892448548998,1.0941108389297272,1.7551452686405864,1.1509109784292342,53.52977531713925,1.363727001794957,True,False,20.703587323227623,0.05194805194805195,13.499532804838063,3.5039067027163813,20.36583532433539,11.821756979714435
110020,Porto Velho,RO,North,793,88518,8.9586298831876,0.736,722.522125928886,1.0975442433413463,1.022473181040681,1.176668930076005,1.0872881332108286,719.4316191512884,1.102259031838912,True,False,70.477874071114,0.042270531400966184,209.6568820498108,47.958129380710595,267.9517833919553,158.01438666210007
110025,Presidente Médici,RO,North,28,2994,9.352037408149632,0.664,25.91898469050362,1.0802892294719721,0.7176857753639474,1.5613771157092406,1.0187794720332002,25.53824482674797,1.0963948458460098,False,False,2.0810153094963795,0.125,6.255494100113833,1.8910912253357488,10.477751781177338,5.504478067402713
110026,Rio Crespo,RO,North,1,461,2.1691973969631237,0.643,4.0392929688097325,0.2475680788003531,0.0032362428219295425,1.3774082807866637,0.9658251480784339,3.900622879453284,0.2563693109804456,False,False,0.0,0.0,0.891662030688812,0.2995796154316965,1.6986304396248977,0.8620354213288591
110028,Rolim de Moura,RO,North,75,9631,7.787353338178797,0.7,80.4214960508928,0.9325864810142063,0.7335105945411264,1.1690207877976255,0.9672052180958268,81.56131478296284,0.9195535922830241,False,False,0.0,0.05063291139240506,20.844356548249234,5.646297373670288,31.39948994769039,17.504825466267906
